event_name,date_and_time,description,location,cost,event_url,category,charity,organization_link
"Take action and create impact at MS Walk on Sunday May 25, 2025","Sunday May 25, 2025",Join us this May as our community made up of tens of thousands of Canadians walks together to show that no person living with multiple sclerosis is alone. Fundraise to make lives better for people living with MS. Register for MS Walk today as we walk toward living in a world free of MS," ​Laggasse Park, 4501 Lakeshore Drive, St. Paul",Not Available,https://msspwalk.donordrive.com/?language=en&utm_source=eventlisting&utm_medium=website&utm_campaign=WALK,Diseases and Conditions,Multiple Sclerosis Canada,www.mscanada.ca
Family and Caregiver Retreats,"May 23-24-25, 2025","Family and Caregiver Retreats help clients, their family members and caregivers connect with others who are living similar experiences to provide support and help reduce social stigmas. These Family and Caregiver Retreats offer a weekend ‘away from it all’ in a safe, welcoming, and natural setting. Family and Caregiver Retreats provide:  An opportunity for attendees to meet and socialize with others who have similar experiences; An opportunity to gain useful insights from experts and other families about caring for themselves and their loved ones; Access to a range of complementary therapy services and information sessions; An assortment of leisure and social activities; A well-deserved break from some of the demands of daily life; Social gatherings to foster friendship and a sense of community; The Family Retreats also offer opportunities for children living with a neuromuscular disorder to meet other children with similar experiences and develop new friendships.",Rawdon Golf Resort.,Not Available,https://muscle.ca/services-support/personal-support-program/family-and-caregiver-retreats/,Diseases and Conditions,"Muscular Dystrophy Canada, National Office",www.muscle.ca
Easter Egg Hunt For Dogs & Their Families Fundraiser,"Apr 18, 2025 Time: 10:00 am to 12:30 pm","REGISTER as an EARLY BIRD and SAVE ! $20 per Family. Opens on Friday Feb 7, 2025 and will run until March 7, 2025 11:59pm EST. Scroll to the bottom of the page to register for an event near you! EARLY BIRD FUNDRAISING: Raise $500 to snag a cool NSD Branded Treat Pouch, or aim higher with $750 to score an awesome NSD Branded Sweatshirt. Items will be available for pick up at your hunt location. Any Participant/Team that raises $5000 or more will have the opportunity to sponsor and name a puppy!  Contact Cindy Webb Events Coordinator for any questions you may have cindy@nsd.on.ca There are many ways to get involved in the Easter Egg Hunt and positively impact a life!  Consider becoming a Local Hunt Sponsor! Check out our Sponsorship Package Here","Kitchener, Guelph, Hamilton, London, Windsor, Ottawa(Tentative)and Calgary.",20,https://nsd.on.ca/get-involved/events/easter-egg-hunt/,Disabilities and Accessibility Services,National Service Dog Training Centre,WWW.NSD.ON.CA 
27th Annual Easter Egg Hunt for Dogs!,"Apr 18, 2025 Time: 10:00 am to 12:30 pm",,"Six Hunts will be held simultaneously in the Ontario cities of ﻿Kitchener-Waterloo, Guelph, London, Windsor, Hamilton and Calgary, Alberta.",25,https://nsd.on.ca/event/27th-annual-easter-egg-hunt-for-dogs/,Disabilities and Accessibility Services,National Service Dog Training Centre,WWW.NSD.ON.CA 
Spring Fling Inspire,april 5 2025,"This year's Spring Fling Gala is set to INSPIRE. This vibrant evening features engaging displays that illustrate how purchases and initiatives made possible through our generous donors, improved local healthcare programs and services.  The Gala will feature great food, cash bar, exciting fundraising activities, and a live auction. It's a fantastic networking opportunity for community leaders, healthcare professionals, and supporters to connect and collaborate.  Get dressed up, grab your friends and we'll see you at Spring Fling!",Shell Place Grand Ballroom at MacDonald Island Park.,214,https://www.eventbrite.ca/e/northern-lights-health-foundations-spring-fling-inspire-gala-tickets-1246220151019?aff=oddtdtcreator,Health Care,Northern Lights Health Foundation,WWW.NORTHERNLIGHTSHEALTHFOUNDATION.CA
61st Annual General Meeting,march 18 2025 5.30,,Norwood Child And Family Resource Center Edmonton AB 95156-114 Ave,Not Available,https://www.norwoodcentre.com/post/61st-annual-general-meeting,Community Services and Resource Center,Norwood Child and Family Resource Centre,www.norwoodcentre.com
eal Tea: for everyone diagnosed with ovarian cancer,"February 25, 2025 1:00 p.m. ET - 2:00 p.m. ET 2:00 p.m. AT - 3:00 p.m. AT 10:00 a.m. PT - 11:00 a.m. PT","Teal Tea is a time for connection and conversation, where women with ovarian cancer can share their stories and learn from one another. It’s a small group gathering that takes place entirely online. If you have not yet attended, we would love to meet you.  Everyone diagnosed with ovarian cancer is welcome to join this session to meet fellow Teal Sisters living with the disease.  Teal Tea is not a professionally facilitated support group. To ensure a safe and inclusive environment, please review the group guidelines ahead of time.  You are welcome to join us for Teal Tea as often as you wish. A variety of dates and times are available monthly and the events page is updated as new sessions are scheduled.  Questions about Teal Tea gatherings? Please email us at tealtea@ovariancanada.org.",Online,Not Available,https://ovariancanada.org/events/teal-tea-for-everyone-diagnosed-with-ovarian-cancer,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Support Group: Ovarian Cancer | Six-week program,26 February 2025 - 2 April 2025 5:00 p.m. ET - 6:30 p.m ET,"Presented in partnership with Wellspring Cancer Support, the Support Group: Ovarian Cancer is a professionally led program that meets weekly for six weeks. Participants will explore relevant themes, including coping with change and will have an opportunity to share within and build a community of support.  You must register for this program and commit to the six weeks. Spots are limited per group, however, as additional groups and spots become available, you will be notified.  By clicking ‘Register’ you will be taken to Wellspring Cancer Support’s website to register for this support group.",Online,Not Available,https://ovariancanada.org/events/ovarian-cancer-support-group-copy-2,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Teal Tea: for young people with ovarian cancer,"February 26, 2025 7:00 p.m. ET - 8:00 p.m. ET 8:00 p.m. AT - 9:00 p.m. AT 4:00 p.m. PT - 5:00 p.m. PT","This session focuses on young people living with ovarian cancer. Please join us if you are under 50 years old, or young at heart, and have received a diagnosis.  Teal Tea is not a professionally facilitated support group. To ensure a safe and inclusive environment, please review the group guidelines ahead of time.  You are welcome to join us for Teal Tea as often as you wish. A variety of dates and times are available monthly and the events page is updated as new sessions are scheduled.  Questions about Teal Tea gatherings? Please email us at tealtea@ovariancanada.org.",Online,Not Available,https://ovariancanada.org/events/teal-tea-for-young-people-with-ovarian-cancer-1-2,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Celebrate Womanhood,"March 8, 2025 The Highlander Spa (1597 South Park St - Halifax) | 9:00 a.m. - 9:00 p.m. AT","This International Women’s Day, March 8, 2025, the Highlander Spa is excited to support Ovarian Cancer Canada and to pamper and celebrate the women and members of our community. Profits from this event directly contribute to advancing ovarian cancer research, supporting those affected by the disease, and spreading awareness.  Grab a friend and join us for a rejuvenating spa experience in support of Ovarian Cancer Canada, where relaxation meets empowerment. Immerse yourself in a serene ambiance with soothing spa services, refreshing drinks, and yummy snacks. Unwind in good company, and embrace the calming atmosphere while dressed in red to honor International Women’s Day. Feel the warmth of community spirit, and don’t miss the chance to win a fabulous prize in our special draw. Furthermore, from 4pm-9pm, enjoy the entertainment of DJ Henry T and Vassa who will keep the good times going. Together, we’ll demand change, deliver action, and transform lives!  Your $75 ticket (within your chosen time slot) includes:  1 complimentary express service (add-ons for each service will be available for purchase on site) 1 complimentary mocktail Complimentary munchies EXPRESS SERVICE OPTIONS (30 minutes) Manicure Pedicure Facial Massage Men’s Cut Women’s Dry Cut or Styling *Please call or email the Highlander Spa to confirm your service within your chosen time slot at 902-429-3022 or info.thehighlanderspa@gmail.com.",The Highlander Med Spa & Salon,81,https://www.eventbrite.com/e/celebrate-womanhood-in-partnership-with-ovarian-cancer-canada-tickets-1255874687999?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=cp&aff=ebdsshcopyurl,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Teal Tea: for everyone diagnosed with ovarian cancer,"March 25, 2025 1:00 p.m. ET - 2:00 p.m. ET 2:00 p.m. AT - 3:00 p.m. AT 10:00 a.m. PT - 11:00 a.m. PT","Teal Tea is a time for connection and conversation, where women with ovarian cancer can share their stories and learn from one another. It’s a small group gathering that takes place entirely online. If you have not yet attended, we would love to meet you.  Everyone diagnosed with ovarian cancer is welcome to join this session to meet fellow Teal Sisters living with the disease.  Teal Tea is not a professionally facilitated support group. To ensure a safe and inclusive environment, please review the group guidelines ahead of time.  You are welcome to join us for Teal Tea as often as you wish. A variety of dates and times are available monthly and the events page is updated as new sessions are scheduled.  Questions about Teal Tea gatherings? Please email us at tealtea@ovariancanada.org.",Online,Not Available,https://ovariancanada.org/events/teal-tea-for-everyone-diagnosed-with-ovarian-cancer-1-2,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Women’s whole health retreat,"March 28 - 29, 2025 Regina, SK | Fri. March 28, 6 p.m. - 9 p.m. Sat. March 29, 9 a.m. - 4 p.m.","Join the Saskatchewan Ovarian Cancer Survivors and Inpower Breast Cancer Survivors for a “Women’s whole health retreat” on March 28-29, 2025 in Regina. This in-person event includes sessions for survivors and their loved ones engage in sessions focused on research, resources and support. There will also be time for networking with others affected by ovarian or breast cancer.  The event will kick off at 6 pm at The Atlas Hotel for an evening of connection including a networking dinner. Then on Saturday, at the Southern Horizons Area Guide Centre’s Girl Guide Hall, you’ll hear insightful information from industry experts and people with lived experience.  Expert speakers joining the event include:  Anne Katz, Certified Sexuality Counsellor and Clinical Nurse Specialist Amanda Cameron, Nurse Practitioner and Menopause Society Practitioner Suzanne Funk, Physical Therapist Angelique Lang, Certified Genetics Counsellor Lindsey Roysom, Occupational Therapist And more! Topic highlights include:  Sexual changes after a cancer diagnosis Surgically induced menopause Genetics at play Cognitive hygiene strategies, causes of brain fog and return to work strategies Interactive arts therapy activity And more! All of this for only $25 registration fee! This fee assists in covering costs related to venue and equipment rentals, meals, and speaker engagement. Register by: March 12, 2025.  This event is hosted by Saskatchewan Ovarian Cancer Survivors and Inpower Breast Cancer Survivors in partnership with Ovarian Cancer Canada.","Regina, SK",25,https://ovariancanada.org/events/womens-whole-health-retreat,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
BMO Vancouver Marathon,"May 4, 2025   7 am","Ovarian Cancer Canada is proud to be an official charity of the BMO Vancouver Marathon RUN4HOPE.   Variety of route distances to choose from. Sign up and fundraise for Ovarian Cancer Canada as your charity of choice.  Your race includes:  Exclusive new tech tee Finishers medal for in-person races Two-day health, sports, and lifestyle expo Brooks running bonus prize if you combine races Results, leaderboard, and more If you have any questions please contact our fundraising team.","Queen Elizabeth Park, Vancouver, BC ",Not Available,https://ovariancanada.org/events/bmo-vancouver-marathon,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Teal 2 Heal,"May 3, 2025 Espace Jax: 1439 rue Sainte-Catherine Ouest, Montreal QC H3G 1S6 | 6:00 p.m. - 11:00 p.m. ET","(Doors open at 6pm and show starts at 8pm)  Teal 2 Heal is an event to raise money and awareness for ovarian cancer through various forms of art.  The night will start with a cocktail dînatoire with different finger foods available all night as well as a cash bar.  Also featured throughout the evening will be the following:  A fashion show featuring a few ovarian cancer survivors. Live musical performances featuring some of the Pop, Disco, Soul & Reggae classics hits that we know and love. A mini art exhibition by an ovarian cancer survivor. A live painting made throughout the evening to be given away to a lucky guest. A silent online auction. Impactful speeches. This is an evening full of excitement that you won’t want to miss!  For more information and sponsorship inquiries, please reach out to bkpro66@hotmail.com.","Espace Jax: 1439 rue Sainte-Catherine Ouest, Montreal QC H3G 1S6",80,https://ovariancanada.org/events/teal-2-heal,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
THE LADY BALL Halifax,"May 8, 2025 Steele Wheels Motor Museum, Halifax | 6:00 p.m. AT - 9:30 p.m. AT","THE LADY BALL is making its grand return to Halifax for 2025 – and it’s going to be an evening to remember!  On May 8, get ready to immerse yourself in a night of pure glamour at the stunning Steele Wheels Auto Museum.  This eagerly awaited annual fundraising gala, in support of Ovarian Cancer Canada, is the premier event of the year in Halifax. Last year’s event sold out and raised over $156,000, all for a cause that means so much to so many.  Every dollar raised at THE LADY BALL directly contributes to advancing ovarian cancer research, supporting those affected by the disease, and spreading awareness. You won’t want to miss this chance to make a meaningful impact while enjoying a truly unforgettable night.  Save the date, secure your seat and prepare for an evening of glamour, generosity, and community!","Steele Wheels Motor Museum, Halifax ",250,https://ovariancanada.org/events/the-lady-ball-halifax,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Emera Blue Nose Marathon,"May 16 - 18, 2025","Variety of route distances to choose from.  The Emera Blue Nose Marathon welcomes participants of all ages and abilities to promote and celebrate healthy living and active lifestyles. Sign up and fundraise for Ovarian Cancer Canada!  The event includes:  Blue Nose Marathon Expo Presented by Subaru Premium ASICS Runkeeper Go™ trial Routes with stunning views of Halifax and Dartmouth Participant shirt Personalized race bib (if registered by 5:00 PM on Wednesday, April 23, 2025) Blue Nose Marathon medal Chip-timed race If you have any questions please contact our fundraising team.","Emera Oval, Cogswell Street, Halifax, NS",Not Available,https://ovariancanada.org/events/emera-blue-nose-marathon,Diseases and Conditions,Ovarian Cancer Canada,WWW.OVARIANCANADA.ORG
Yoga for Grief & Loss - March 2025 (Evening Practice),"Friday, March 14","Join us for an gentle candlelit yoga session designed to support individuals navigating grief and loss. This in-person event will take place at Hospice Fredericton's Centre for HOPE (621 Churchill Row, Fredericton, NB, Canada) with admission by donation to Hospice Fredericton.  Our experienced instructor Erin Gibbs will guide you through gentle yoga poses and breathing exercises, promoting healing and emotional well-being. Whether you're seeking solace or looking to connect with others who understand, this event offers a safe and nurturing space. No prior yoga experience is required. Come as you are, and let yoga help you find peace amidst the challenges of grief and loss.","621 Churchill Row, Fredericton, NB, Canada",Not Available,https://www.eventbrite.ca/e/yoga-for-grief-loss-march-2025-evening-practice-registration-1118064534119,"Long-term, Palliative care and Hospice",Palliative Care Resource Network Inc.,WWW.HOSPICEFREDERICTON.CA
Grief Café - March 2025,"Monday, March 17 2025","A safe space to connect, share, and deepen your understanding of grief and loss","621 Churchill Row, Fredericton, NB, Canada",Free,https://www.eventbrite.ca/e/grief-cafe-march-2025-registration-1256660799279,"Long-term, Palliative care and Hospice",Palliative Care Resource Network Inc.,WWW.HOSPICEFREDERICTON.CA
Yoga for Grief & Loss - March 2025 (Morning Practice),"Sat, Mar 29, 2025 9:00 AM - 10:15 AM ADT","Join Hospice Fredericton on your mat for a Saturday morning practice where we will land in restorative poses to support the body, open the heart, and ease the mind as we build relationship with grief and loss.  Our experienced instructor Erin Gibbs will begin each practice with a grounding breath pattern followed by slow and gentle movement before landing in restorative shapes supported by props allowing you to release. Guided meditations may also be included. This in-person event will take place at Hospice Fredericton's Centre for HOPE (621 Churchill Row, Fredericton, NB, Canada) with admission by donation to Hospice Fredericton.  Whether you're seeking solace or looking to connect with others who understand, this event offers a safe and nurturing space. No prior yoga experience is required. Come as you are, and let yoga help you find peace amidst the challenges of grief and loss.","621 Churchill Row, Fredericton, NB, Canada",Not Available,https://www.eventbrite.ca/e/yoga-for-grief-loss-march-2025-morning-practice-registration-1137686333449,"Long-term, Palliative care and Hospice",Palliative Care Resource Network Inc.,WWW.HOSPICEFREDERICTON.CA
Seminar: Estate Planning For Seniors,"Thursday, March 6, 2025","Wondering how to find peace of mind when planning your estate? Join us as we discuss 10 things to know in estate planning, including but not limited to how to reduce taxes, minimize probate, and increase gifts to charity.  Don’t wait, RSVP today for this FREE seminar, Estate Planning for Seniors. Hear from industry experts Dave Lee, Senior Wealth Advisor at ScotiaMcLeod® and Monique Trépanier, Estate and Trust Consultant at ScotiaTrust®, to learn the things you need to know when estate planning and ensure you gain peace of mind regarding your estate plans.   Join us to learn how to:  Minimize taxes and probate in your estate plan  Leave a lasting legacy for your family and for the charities close to your heart Ensure your wishes are carried out  There is great power in charitable giving, you become part of something bigger, and you connect at a deeper level with your community. Hear from Ilona Scott, Philanthropy Officer, Legacy Giving at Peace Arch Hospital Foundation to learn how gifts like these are making a big impact on your community, today and for generations to come.  Continue reading below to learn more about the presenters, Dave Lee and Monique Trépanier!","100 - 1676 Martin Drive, White Rock",Free,https://www.pahfoundation.ca/events/seminar-estate-planning-for-seniors/,Community Services and Resource Center,Peace Arch Hospital and Community,PAHFOUNDATION.CA 
The Peace Arch Hospital Gala,"May 3, 2025 4.30 pm","You have never experienced New Orleans, Louisiana like this... The award-winning Peace Arch Hospital Gala is back, featuring the mysterious world of The Big Easy after dark. Enter Bourbon Street, where the sound of brass bands and street performers create a vibrant tapestry woven with the threads of history, music, and life itself.   Join us as we immerse you in fascinating Cajun culture and cuisine, along with the allure of the French Quarter where anything, and everything, happens under the shadowy cover of night. Beneath the flickering lights and the starry New Orleans sky, there is a celebration of the senses — it’s wild, chaotic, and utterly unforgettable. This is a place where stories collide; each corner whispers of the rich history of fortunes untold and the jazz legends who once roamed these streets. Lose yourself in its embrace and feel the energy linger long after the music fades.  Every dollar raised will support Peace Arch Hospital so your family, and every family, can receive the best care possible.  Tickets are on sale now!","Centennial Arena 14600 North Bluff Road, White Rock, BC",500,https://www.pahfoundation.ca/events/peace-arch-hospital-gala/,Community Services and Resource Center,Peace Arch Hospital and Community,PAHFOUNDATION.CA 
HSO Webinar,"February 18, 2025 at 9:00 am","Online Webinar  Praxis Spinal Cord Institute (Praxis), the Health Standards Organization (HSO) and Accreditation Canada (AC) invite you to join us on February 18th  to learn about the new Canadian National Standard for spinal cord injury (SCI) for health care programs providing care to people with SCI. CAN/HSO S3402:2024 (E) Integrated People-Centred Spinal Cord Injury Rehabilitation Program is a new standard that consolidates two previous HSO standards: HSO 3401:2018 (E) Spinal Cord Injury Acute Services, and HSO S3402:2018 (E) Spinal Cord Injury Rehabilitation Services.  This 90 min webinar will allow key stakeholders, including people with lived experience of SCI (PLEX), hospital leadership, and clinicians, to learn about the new standard and principles behind its development. There will also be an interactive question and answer opportunity.  We hope you’ll join us as we start the conversation about the future of SCI accreditation in Canada.  Learning Objectives:  Increase awareness of the new SCI Standard Provide an opportunity for key stakeholders to learn more about the Standard development and future of SCI accreditation in Canada Share key initiatives, best practices, and other SCI resources which contributed to the Standard, as well as showcase real-world examples on integrating criteria within the Standard Opportunity for stakeholders to ask questions directly to Accreditation Canada/HSO/Praxis",Online,Free,https://praxisinstitute.org/events/improving-spinal-cord-injury-standards-in-canada-taking-a-people-centered-approach-to-achieve-an-integrated-rehabilitation-program-webinar/,Diseases and Conditions,Praxis Spinal Cord Institute,WWW.RICKHANSENINSTITUTE.ORG
Seniors Martial Arts,Feb 24th 4:00 p.m.-5:00 p.m.,,"127 Eddystone Ave, Toronto, ON M3N 1H5, Canada",Not available,https://peachtoronto.com/calendar,Community Services and Resource Center,Promoting Education and Community Health (PEACH),https://peachtoronto.com/
PEACH Foodbank Community Food Distribution,Feb 25th   9:00 a.m.-10:30 a.m.,"Visit PEACH Foodbank for food distribution everyTuesday from 9:00 AM to 10:30 AM. Bring your full name, contact number, and your own bags. For info or pre-registration, emailexecutive.director@peachtoronto.com or call (416) 740-9593. Together, we nourish our community.","127 Eddystone Ave, Toronto, ON M3N 1H5, Canada",Not Available,https://peachtoronto.com/calendar,Community Services and Resource Center,Promoting Education and Community Health (PEACH),https://peachtoronto.com/
PEACH Kids' Reading Circle,Feb 25th,,Not Available,Not available,https://peachtoronto.com/calendar,Community Services and Resource Center,Promoting Education and Community Health (PEACH),https://peachtoronto.com/
Seniors exercise,Feb 26th,"Join us for a delightful gathering at the Senior Social Club! Connect with fellow seniors, enjoy engaging activities, and build lasting friendships. Whether you’re interested in games, discussions, or simply sharing stories, this club is for you.Activities may include:Trivia gamesCraft sessionsHealth and wellness talksCome and be part of our vibrant community! ","Peach Promoting Education & Community Health, 127 Eddystone Ave, North York, ON M3N 1H6, Canada",Not Available,https://peachtoronto.com/calendar,Community Services and Resource Center,Promoting Education and Community Health (PEACH),https://peachtoronto.com/
Seniors social club,Feb 26th   11:00 a.m.-12:00 p.m,,Not avalable,Not available,https://peachtoronto.com/calendar,Community Services and Resource Center,Promoting Education and Community Health (PEACH),https://peachtoronto.com/
Youth Martial Arts Class,Feb 27th  4:00 p.m.-6:00 p.m.,"Benefits include making friends and health connections, enhancing physical fitness, building muscle and bone strength, combatting aging effects, and improving safety.Suitable for all skill levels.","127 Eddystone Ave, Toronto, ON M3N 1H5, Canada",Not available,https://peachtoronto.com/calendar,Community Services and Resource Center,Promoting Education and Community Health (PEACH),https://peachtoronto.com/
