event_name,date_and_time,description,location,cost,event_url,category,charity,organization_link
STEM Storytime – A Slice of Pi,11/3/2025 13:00,"Join Lexie and Lenny to read Stuart J. Murphy’s book, “Give Me Half!” and complete a hands-on activity about math using the concept of a full plate of food!  In this 45-minute activity, students will learn all about splitting values in half. Students will use everyday household items to complete an activity on designing a healthy plate of food inspired by Canada’s Food Guide and dividing it into portion sizes. To do so, they will divide a paper plate meal into halves and quarters while learning about healthy and balanced eating.  The recording will be available 24 hours after the live session for registered participants.  For this activity, students will need: This activity is targeted at students in Grades 1 to 3. Younger students may still enjoy the activity and book but may require more adult help and support.    Join us for our weekly STEM Storytime series in English on Tuesdays at 1 p.m. ET! If you cannot make it to a live session, feel free to register, and you will be sent a link to the recording afterward.   You can register for upcoming sessions or access on-demand STEM Storytime events on our STEM Storytime Page. ",Online,Free,https://letstalkscience.ca/events/program-timetable/stem-storytime-a-slice-pi,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Discovering Climate Action: Caring for Planet Earth (EY),12/3/2025 19:30-20:00,"7:30 pm Eastern Time | 30 minutes Date: March 12, 2025",Online,Free,https://letstalkscience.ca/events/program-timetable/discovering-climate-action-caring-planet-earth-ey,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Exploring outdoors: Discovering Math in Nature (K-3),21/5/2025 19:30-20:00,"Are you interested in connecting math with nature? Join us for an exciting webinar to explore examples of mathematics in our natural world. Build your confidence by exploring geometric shapes, common patterns, symmetry and tessellations in nature. Discover a learning strategy that can be scaffolded for use both inside and outside of the classroom. Finally, examine opportunities for mathematics to be integrated across different subject areas to achieve curriculum outcomes.",Online,Free,https://letstalkscience.ca/events/program-timetable/exploring-outdoors-discovering-math-in-nature-k-3,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Discovering Science Beyond the Textbook (Gr. 4-6),8/5/2025 15:30-17:30,We all know that science is more than just the stuff in textbooks. And we also know that the hands-on part is important too. But did you know there was even more to this thing we call “science”? In this session we will engage in an activity that will help students have a better appreciation of some features of what is referred to as the Nature of Science.,Online,Free,https://letstalkscience.ca/events/program-timetable/discovering-science-beyond-textbook-gr-4-6,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Inspiring Student Learning with Technology (K-3),10/4/2025 15:30-17:30,"You will learn effective strategies for integrating technology tools into your teaching practice, creating engaging and interactive learning experiences for students. You will also reflect on your current teaching practices to identify opportunities for maximizing technology tools to support student learning, leading to more effective teaching and increased student engagement and achievement.",Online,Free,https://letstalkscience.ca/events/program-timetable/inspiring-student-learning-technology-k-3,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Careers and Opportunities in STEM (Science is for Everyone),6/5/2025 09:00-14:00,"Let’s Talk Science at Concordia University is organizing a fun and informative in-person symposium on Careers and opportunities in STEM. Whether you're curious about pursuing a STEM degree or want to explore your future career, this symposium will help you take the first step toward success. Join us for this exciting day where you will explore many possibilities within STEM, connect with current graduate students, and gain valuable insights into STEM careers—from the latest trends in AI to emerging opportunities in engineering and data science. Learn about scholarships, mentorship, and real-world STEM applications through interactive presentations, hands-on activities, and networking sessions.  What can you expect at the symposium?  Engaging presentations: Graduate students will share their insights into various STEM careers, scholarship opportunities, and how to succeed in the field. Interactive activities: Take part in hands-on activities and breakout sessions with our volunteers. Networking opportunities: Meet and interact with graduate students, and mentors in STEM, and ask them questions about their career paths. Q&A sessions: Where you can ask questions directly to speakers. Prizes and surprises: Don’t miss your chance to win exciting prizes during the lucky draw at the end of the day.  What is the goal of our symposium?  •  Provide students with insights into the many opportunities within STEM fields. •  Encourage participation and interest in STEM careers. •  Foster connections between students and academic professionals.  This event is a great opportunity for high school and CEGEP students to explore STEM career paths, discover available scholarships, and learn how to connect with mentors who can help shape their future. ",Online,Free,https://letstalkscience.ca/events/program-timetable/careers-and-opportunities-in-stem-science-everyone,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Fostering Empathetic Design with the Sustainable Development Goals (Gr. 6-9),13/3/2025 19:30-20:00,Do you want to support your students in strengthening their ability to consider the needs of others to develop meaningful solutions to real-world problems? You will apply a classroom-ready learning strategy to empathize with a real-world problem using the Sustainable Development Goals (SDGs).,Online,Free,https://letstalkscience.ca/events/program-timetable/fostering-empathetic-design-sustainable-development-goals-gr-6-9,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
STEM Storytime Special,1/4/2025 - 22/4/2025,"Join Lenny and Lexie for STEM Storytime Special!  For the month of April, Early Years to Grade 3 learners can participate in a special edition of STEM Storytime. These weekly 40 to 45-minute sessions will be offered in both French and English.   STEM Storytime Special is ideal for busy educators and caregivers, no matter what their learning environment looks like. Participating in this program supports literacy and language skills development for young learners through reading a story and then engaging with them in a fun, hands-on STEM activity connected to the story.   Free Materials for Educators:  For this special edition, we are happy to offer free materials to a number of schools in need. These schools will receive all materials to participate in 4 weeks of activities (for a group of 30 students) sent by mail at no cost! We have a limited quantity of materials and will do our best to fulfill requests but cannot guarantee receipt of materials. Acceptance will come on a first-come-first-served basis.    Sign up for the four STEM Storytime Special activities which will take place in English every Tuesday at 1 p.m. ET, starting on April 1. ",Online,Free,https://letstalkscience.ca/events/program-timetable/stem-storytime-special,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
LIVE STEM 24-25: Seed Investigations (4-6),25/3/2025 13:00,"An out-of-this world co-learning experience! Join us for a limited-time, job-embedded opportunity tailored to complement Tomatosphere™, a hands-on project designed to investigate the effects of seeds in outer space.  Invite a Let’s Talk Science facilitator to your classroom for a comprehensive learning experience in just 45 minutes. During the session, you will gain easy-to-implement strategies to incorporate climate and inquiry-based learning into your teaching practice. At the same time, your students will build confidence making observations and predictions, understanding the inquiry cycle, and designing their own seed investigation.   Can’t attend live? A recording will be available in the supporting course within 72 hours.  Important: To receive Tomatosphere™ seeds, you must register before February 26th to ensure they arrive in time.",Online,Free,https://letstalkscience.ca/events/program-timetable/live-stem-24-25-seed-investigations-4-6,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
LIVE STEM 24-25: Seed Investigations (1-3),25/3/2025 11:15,"An out-of-this world co-learning experience! Join us for a limited-time, job-embedded opportunity tailored to compliment Tomatosphere™, a hands-on project designed to investigate the effects of seeds in outer space.  Invite a Let’s Talk Science facilitator to your classroom for a comprehensive learning experience in just 45 minutes. During the session, you will gain easy-to-implement strategies to incorporate climate and inquiry-based learning into your teaching practice. At the same time, your students will build confidence making observations and predictions, understanding the inquiry cycle, and designing their own seed investigation.   Can’t attend live? A recording will be available in the supporting course within 72 hours.  Important: To receive Tomatosphere™ seeds, you must register before February 26th to ensure they arrive in time.",Online,Free,https://letstalkscience.ca/events/program-timetable/live-stem-24-25-seed-investigations-1-3,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Outdoor Learning,18/3/2025 17:30-18:30,"Join us on March 18 for a live training session designed for Let's Talk Science volunteers and site coordinators who want to build confidence in facilitating outreach activities outdoors.  Whether you're new to taking STEM activities outside the classroom or looking to explore more Let's Talk Science resources, this webinar will offer practical strategies for outdoor learning. We’ll cover tips for managing outdoor spaces, adapting activities for various environments, and engaging students in hands-on learning outdoors. Participants will also be introduced to resources specifically designed for engaging youth outdoors.   If you cannot attend the live session, don't worry—register and we'll send you a recording afterwards.   Live closed captioning will be available for this session.",Online,Free,https://letstalkscience.ca/events/program-timetable/outdoor-learning,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
Bringing Data to Life with Hands-on Science (K-12),20/3/2025 15:30-17:30,"The concept of species diversity, or “Biodiversity”, is often represented in textbooks and videos with examples of species from faraway places. It can be difficult for students to grasp the potential variety and abundance of plants and animals, or lack thereof, through images of species they aren’t familiar with. Give students the opportunity to explore the concept of biodiversity in a tangible, local environment – their own schoolyard! Examine tools and strategies that allow students to contextualize the process of collecting and analyzing local plant and animal data, as well as solidify the notion that science and mathematics are intricately related. Whether your school yard is made of cement and grass or includes a diverse forest, being involved in this hands-on Biodiversity Challenge will allow for you and your students to look at real data through a critical lens and co-construct locally relevant scientific meaning. Examples will include resources and modifications for a wide variety of grade levels.",Online,Free,https://letstalkscience.ca/events/program-timetable/bringing-data-life-hands-on-science-k-12,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
LIVE STEM 24-25: Careers of the Future (6-9),25/3/2025 15:00,"In this broadcast, students will delve into the careers of the future, using the Sustainable Development Goals as a guiding framework to pinpoint current global challenges. They will contemplate potential emerging technologies capable of addressing these challenges and craft job titles that encompass the requisite skills for success in these yet-to-be-realized professions. The session will last 45 minutes, providing a comprehensive learning experience for all participants.",Online,Free,https://letstalkscience.ca/events/program-timetable/live-stem-24-25-careers-future-6-9,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
STEM Storytime – Stretch Lab,25/3/2025 13:00,"Join Lexie and Lenny to read Doreen Cronin’s book, “Stretch” and complete a hands-on activity building a model of the muscles in our hands!  In this 45-minute activity, students will learn all about muscles and the importance of stretching. Students will use everyday household items to complete an activity on designing a model of their hand with muscles running through each finger to see how muscles work to move their body. To do so, students will trace their hand and wrist on a piece of cardstock and cut it out. They will then tape 3 small pieces of straw on their cardstock and thread strings in them.  The recording will be available 24 hours after the live session for registered participants.  For this activity, students will need: This activity is targeted at students in early years to Grade 3. Younger students may still enjoy the activity and book, but may require more adult help and support.     Join us for our weekly STEM Storytime series in English on Tuesdays at 1 p.m. ET! If you cannot make it to a live session, feel free to register, and you will be sent a link to the recording afterward.  You can register for upcoming sessions or access on-demand STEM Storytime events on our STEM Storytime Page. ",Online,Free,https://letstalkscience.ca/events/program-timetable/stem-storytime-stretch-lab,Youth Education and Skill Development,Let’s Talk Science,letstalkscience.ca
2025 Spring Open House!,5/4/2025,"The 2025 Spring Open House is just around the corner! Mark your calendars for Saturday, April 5, 2025, and visit us at 152 Wilson Street, Oakville, for a day of inspiration, learning, and community.  Get an inside look at Dog Guides in Action! At our Open House, you’ll meet our incredible Dog Guides in-training and their dedicated trainers, watch live demonstrations, connect with our Puppy Program team, and discover ways to get involved, whether through volunteering, donating, or attending upcoming events. Plus, celebrate with the community partners who help make our work possible.  Admission is free, and donations are always welcome to support our mission. Doors open at 9:30 AM and close at 3:00 PM.   Come see how we’re blooming with possibilities this spring!","152 Wilson Street, Oakville",Not Available,https://www.dogguides.com/open-house/,Disabilities and Accessibility Services,Lions Foundation of Canada Dog Guides,WWW.DOGGUIDES.COM
Spring Medical Conference - 2025 - LPO 60th Anniversary Celebration,25/4/2025 - 27/4/2025,"The Spring Conference will begin with the ever-popular Parents Meeting and a Medical Seminar aimed at Adult LPs (18+ years old) followed by Medical Seminar options for those LPs under 18 years old with their parents in the Thornhill Room and LPs 18+ years old in the Buttonville Room. Meanwhile, Camp-Age kids (6-14 years old) can enjoy a Day of Camp LPO in the Unionville Room.   This year we are planning on Nine (9) Medical Seminars and Peer-to-Peer Workshops with a panel of medical and lived experience experts who will present some of the latest news & research on a list of relevant topics - see below - and answer all your questions. (See the preliminary draft agenda below.) Prospective Medical and Workshop Panelists:  Dr. Roberto Mendoza, MD, MSc, FCCMG, FRCPC, Chief Clinical and Metabolic Genetics and Ms Lucie Dupuis, M.Sc, MS, CGC Genetic Counsellor at the Hospital for Sick Children Ms Stephanie Rutte - Parents Meeting Moderator - Lived Experience Little Person, Spouse of a Little Person, Mom of a Little Person, and School Teacher Dr. Jeremie Larouche, MD, MSc, FRCSC or Dr. Michael Ford, MD, FRCSC, Dept. of Orthopaedic Surgery from the Sunnybrook Health Sciences Centre Dr. Andrew Howard, MD, MSc, FRCSC, Harold and Bernice Groves Chair in Orthopaedics, Head, Division of Orthopaedics, Hospital for Sick Children or Dr. Maryse Bouchard, MD, MSc, FRCSC, Paediatric Orthopaedic Surgeon at the Hospital for Sick Children Ms Susan Flowers - LPC Zoomer Boomer Moderator, LPO Director & Co-Vice President, lived experience Little Person, Jim Hill Exceptional Service Award recipient Ms Violet Elliot - Social Media Safety Presenter, LPO Director, lived experience Little Person, filmmaker, photographer, and disability advocate Dr. Kathryn Walker, C.Psych. Clinical Director | Psychologist - Mental Health Professional Rebecca Siomra, Speech Language Pathologist, MSc, Reg. CASLPO, SLP(C), LSLS Cert AVT and Meagan McLeod, Communicative Disorders Assistant (CDA), Reg, CDAAC and lived experience as POLP.  Ms Natasha Minas, A physiotherapist offering insights into physical fitness and adaptive activities Ms Tess ""Mako"" Rowley or Ms April ""Calypso"" Young, Camp Maple Leaf Directors and Camp LPO Day Camp program providers - A Day of Camp LPO","The Sheraton Parkway Toronto North Hotel 600 Hwy 7, Richmond Hill, ON L4B 1B2",179,https://littlepeopleofontario.com/index.php?rt=product/category&path=36_38,Health Care,Little People of Ontario,WWW.LPO.ON.CA
Running Against Ruptures,7/6/2025 10:00-13:00,"Funds will support brain aneurysm research through the Clinical Neurological Sciences Program at London Health Sciences Centre and the Brain Aneurysm Foundation of Canada. Early bird registration is $35 until March 22, 2025 and includes a complimentary t-shirt.",Springbank Gardens,35,https://lhsf.ca/event/running-against-ruptures,Health Care,London Health Sciences Foundation,www.lhsf.ca
Run For Ovarian Cancer,11/5/2025 08:00-12:00,"Join us this Mother's Day, Sunday, May 11th for the London Run For Ovarian Cancer. Walk or run the distance you choose with us in person at Springbank Gardens or in your neighbourhood.  It was started 23 years ago by a small grassroots group in support of their friend who had developed the disease. The London Run for Ovarian Cancer has raised over $3 million in support of the Translational Ovarian Cancer Research Group. This year's event will be an in-person event; however, participants can complete their distance in their neighbourhoods, if they so desire.  The registration fee is $25 and all registered participants will receive a free event t-shirt.",Springbank Gardens,25,https://lhsf.ca/event/run-ovarian-cancer,Health Care,London Health Sciences Foundation,www.lhsf.ca
Punch Out MS II,4/5/2025 00:00-23:59,"This event is supporting multiple sclerosis research, clinical and laboratory research, and providing education to patients, families, the healthcare community and the general public. It's a great opportunity to show your support for a worthy cause and catch some great action!",London Music Hall,Not Available,https://lhsf.ca/event/punch-out-ms-ii,Health Care,London Health Sciences Foundation,www.lhsf.ca
Wayne MacDonald Charity Bonspiel 2025,8/2/2025 00:00-23:59,Curlers and non curlers are invited to join us Saturday February 8 at Ilderton Curling Club. All money raised will go to the London Health Sciences Foundation Blood and Marrow Cancer research program.    , Ilderton Curling Club,60,https://lhsf.ca/event/wayne-macdonald-charity-bonspiel-2025,Health Care,London Health Sciences Foundation,www.lhsf.ca
Give a Breath,7/6/2025,Details & registration coming soon!,Not Available,Not Available,https://lungcancercanada.ca/events/give-a-breath-5k/,Health Care,Lung Cancer Canada,lungcancercanada.ca
Halifax Lung Cancer Summit,15/4/2025 17:00-20:00,"Regional Lung Cancer Summits are held throughout the year in different communities across Canada.  In partnership with local healthcare providers, these summits are designed to provide essential resources and information for anyone impacted by a lung cancer diagnosis.  Attendees will have an opportunity to hear from guest speakers on a variety of topics, build a community of support, and connect with others through shared experiences.  Each summit is free to attend and will be recorded live for those who are unable to attend in person."," KTS Lecture Hall, University of King's College, 6350 Coburg Rd, Halifax",Not Available,https://lungcancercanada.ca/events/lung-cancer-summit-series/,Health Care,Lung Cancer Canada,lungcancercanada.ca
