event_name,date_and_time,description,location,cost,event_url
Legislation & Policies for Volunteer Engagement,2025-03-19 09:30:00 - 2025-03-19 11:00:00,"Are your volunteer program policies and procedures following the rules? Are you up to date on the necessary legislation that applies to your volunteers? In this interactive online webinar, we'll explore the policies, procedures and legislative connections you need to have in your volunteer program, from compliance with the Accessibility for Ontarians with Disabilities Act (AODA) to appropriate disclosure on police checks. We'll also discuss the changing nature of volunteerism in updating policies, procedures and codes of conduct. Please note: This session will not be recorded.     You'll leave this 90-minute webinar with: A detailed distinction of which laws and regulations apply to volunteer programs Tools to align volunteer program policies and procedures with Ontario legislation A set of policy and procedure examples that are necessary for successful programs even without legislative links Community Guidelines  Volunteer Toronto is committed to fostering a space where everyone is welcome to show-up and engage without fear of harassment. During the registration process, you will agree to our Community Guidelines: you understand that harassment or perceived harassment of individuals and/or organizations participating in this space will not be tolerated. The host reserves the right to remove participants from the space (with registration fees refunded) if such harassment or perceived harassment occurs.  Registration & Cancellation Policy  Registrations are accepted at the discretion of Volunteer Toronto. No refunds will be issued for cancellations received within 48 hours of an event. Registration can be transferred to another member of your organization. Written notice must be received more than 48 hours prior to the event date in order to receive a refund. Please send your written cancellation to Sammy Feilchenfeld at sfeilchenfeld@volunteertoronto.ca. Registered participants who fail to attend an event will be invoiced for the full fee, due 30 days from the date of the invoice.",Zoom Canada,50,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1889739&group=
High School Volunteering: Ask Me Anything,2025-03-26 18:30:00-,"Are you a high school student?  Looking to finish your school community hours?  Join us and learn how to get involved as a volunteer, where to search for opportunities and how to find the best match for your needs and goals. During the session you can ask us any questions about volunteering as a high school student.  This session is intended for youth and anyone in high school.     Please note: You will Not receive volunteer hours for attending this session.",Zoom Webinar Ontario Canada,Free,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1934429&group=
Managing Event Volunteers,2025-04-23 09:30:00 -,"As a leader of volunteers, you may be responsible for event planning, implementation and volunteer support. In this interactive, 90-minute webinar, we’ll explore the event volunteer engagemnent process to prepare you for event success. Learn about why events are an important part of non-profit programs and services, considerations for in-person and online events, and key volunteer roles in planning, coordination and day-of implementation. Plus, we’ll take a deeper look into setting up evaluation and debrief processes that can help you make future events even better.     You'll leave this 90-minute webinar with: An understanding of the volunteer cycle with event planning Tips and techniques for before, during and after-event volunteer engagement Tools for assessing event success and volunteer engagement between events Community Guidelines  Volunteer Toronto is committed to fostering a space where everyone is welcome to show-up and engage without fear of harassment. During the registration process, you will agree to our Community Guidelines: you understand that harassment or perceived harassment of individuals and/or organizations participating in this space will not be tolerated. The host reserves the right to remove participants from the space (with registration fees refunded) if such harassment or perceived harassment occurs.  Registration & Cancellation Policy  Registrations are accepted at the discretion of Volunteer Toronto. No refunds will be issued for cancellations received within 48 hours of an event. Registration can be transferred to another member of your organization. Written notice must be received more than 48 hours prior to the event date in order to receive a refund. Please send your written cancellation to Sammy Feilchenfeld at sfeilchenfeld@volunteertoronto.ca. Registered participants who fail to attend an event will be invoiced for the full fee, due 30 days from the date of the invoice.",Zoom Canada,50,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1911543&group=
Understanding Power Dynamics,2025-05-28 09:30:00 -,"In this workshop, we will explore power dynamics in the workplace and discuss how we can collectively work to distribute power more equitably to foster greater inclusion. Participants will unpack concepts such as ""power over,"" ""power within,"" and ""power with"" while investigating the intersections of identity, power, and privilege. Together, we will reflect on the power we may unknowingly hold and the influence we have, gaining deeper awareness and practical strategies to create more balanced and inclusive environments.   About the Speaker   Sheliza Jamal is a graduate of Harvard University and is the founder and Executive Director of Curated Leadership Inc., a coaching firm that fosters partnerships with leadership teams, nonprofits, and corporations to develop their knowledge in the areas of equity and diversity to build inclusive communities. Sheliza is a certified Ontario Educator and is currently completing her PhD at OISE, University of Toronto in the Department of Social Justice Education with a research focus on anti-racism in Teacher Education Programs.  Sheliza brings over a decade of experience in designing curriculum and implementing training and development programs aimed at addressing inequitable outcomes for underserved and equity-seeking communities. She engages participants in dialogue about oppression and uses a calling-in approach to bring people together to listen, learn, and lead with empathy.  Sheliza currently serves as a board member of the Harvard Graduate School of Education Alumni Council and is a Founding Member of the Harvard Alumni Entrepreneurs Council Canada. She is also a board member for WorkInCulture.     Community Guidelines  Volunteer Toronto is committed to fostering a space where everyone is welcome to show-up and engage without fear of harassment. During the registration process, you will agree to our Community Guidelines: you understand that harassment or perceived harassment of individuals and/or organizations participating in this space will not be tolerated. The host reserves the right to remove participants from the space (with registration fees refunded) if such harassment or perceived harassment occurs.  Registration & Cancellation Policy  Registrations are accepted at the discretion of Volunteer Toronto. No refunds will be issued for cancellations received within 48 hours of an event. Registration can be transferred to another member of your organization. Written notice must be received more than 48 hours prior to the event date in order to receive a refund. Please send your written cancellation to Sammy Feilchenfeld at sfeilchenfeld@volunteertoronto.ca. Registered participants who fail to attend an event will be invoiced for the full fee, due 30 days from the date of the invoice.",Zoom Canada,50,https://www.volunteertoronto.ca/events/EventDetails.aspx?id=1911861&group=
"Happy Black Futures Month From Onika Powell, Artistic Director",2025-03-20,"The privilege many of us hold comes with the power to create real change. It’s not enough to simply acknowledge the issues and achievements—it’s also our responsibility to actively engage, educate ourselves, unlearn harmful systems, and create space for safety, equity, and creative expression. Using our influence to amplify Black voices and support Black artists is what we should take away from this month.   For those of you who are new to VIBE (and as a reminder to our long-time supporters), one of the ways we support the Black youth artists in our community is through our NExT program. In its sixth year, we continue to use mentorship and networking to empower Black youth artists across the GTA. The collaborative approach to our mentorship program has created pathways for exposure while working towards breaking down barriers and increasing visibility. As always, Black artists and allies alike, the success of this program relies on working together to create lasting change through funding/donations, access to networking opportunities and resources, as well as community support… so that means mark your calendars for March 20th as we launch Black Futures Exhibition 6.0. The event will showcase the powerful work of 10 Black Creatives, who truly deserve this spotlight and recognition. These artists are shaping the future, and we are inviting you to be part of their journey. With our partner TO Live, we will take over the Meridian Arts Centre to showcase this brilliance. We can’t wait to see you there!",Meridian Arts Centre,Not Available,https://vibearts.ca/happy-black-futures-month-2/
Executive Director 101 Lab,2024-11-14 16:00:00-,"Lab Outcomes  By the end of this lab, you will have:  Broad knowledge of the technical requirements and competencies of the non-profit executive director role. Best practices in leadership and people-engagement, mission impact, governance and operations. Started a personalized 12-month action-plan to identify and execute on key objectives to support your success as a first-time executive director.",Online / Virtual,649,https://thevantagepoint.ca/training/all-labs/executive-director-101-lab/
Volunteering on (Non-Profit) Boards: Why and How to Join a Board,2025-02-25 17:30:00 - 2025-02-25 19:30:00,"Learning Outcomes: By the end of this workshop, you will be able to:  Identify different types of non-profit organizations, non-profit leadership and decision making. Assess your strengths, opportunities, and availability for various forms of volunteer work in non-profit organizations. Examine expectations and risks associated with being a Board member. Identify practical next steps to look for and select from available board opportunities. Suggested Participants: This workshop is ideal for people who are new to the non-profit sector in British Columbia, want to develop a better understanding of its leadership and decision-making processes, and are looking for ways to engage in their communities and express their voices.  Workshop Benefits: Learn how to express your voice in your community. Expand your knowledge of community engagement. Expand your network. Learn about other people’s volunteer experiences. Thank you to our partners VCH Health Promotion Community Investments for their generous support of this learning opportunity!",Zoom,Not Available,https://thevantagepoint.ca/events/volunteering-on-non-profit-boards-209/
BC Societies Act Fundamentals with PLEO,2025-03-11 09:00:00 - 2025-03-11 12:00:00,"Are you thinking of starting a non-profit? Are you new to a board? Need a refresher on the Societies Act?   As a result of Vantage Point’s long lasting partnership with Pacific Legal Education and Outreach Society, in this workshop we will review key issues: membership structure, board composition, General Meetings procedure and content, Conflicts of Interest, Record-Keeping and Dissolution. By the end of the workshop you will know the key information you need to comply with the Societies Act.",Zoom,129,https://thevantagepoint.ca/events/bc-societies-act-fundamentals/
Executive Director: Empowering your Board,2025-03-27 13:00:00 - 2025-03-27 16:00:00,"Learning Outcomes: By the end of this workshop, participants will be able to:  Educate the board on their governance role. Develop tactics to assist the board in setting direction vs. managing operations. Demonstrate seven daily tasks to effectively lead leaders. Suggested Participants: Executive directors or equivalent role (CEO, Managing Director)​.  Workshop Benefits: Through our Executive Director: Empowering Your Board workshop, you will develop:​  Better relationships with your board members. An educated board that focuses on their role and respects yours as executive director.",Zoom,129,https://thevantagepoint.ca/events/empowering-your-board/
Volunteering on (Non-Profit) Boards: Why and How to Join a Board,2025-05-21 17:30:00 - 2025-05-21 19:30:00,"Learning Outcomes: By the end of this workshop, you will be able to:  Identify different types of non-profit organizations, non-profit leadership and decision making. Assess your strengths, opportunities, and availability for various forms of volunteer work in non-profit organizations. Examine expectations and risks associated with being a Board member. Identify practical next steps to look for and select from available board opportunities. Suggested Participants: This workshop is ideal for people who are new to the non-profit sector in British Columbia, want to develop a better understanding of its leadership and decision-making processes, and are looking for ways to engage in their communities and express their voices.  Workshop Benefits: Learn how to express your voice in your community. Expand your knowledge of community engagement. Expand your network. Learn about other people’s volunteer experiences. Thank you to VCH Health Promotion Community Investments for their generous support of this learning opportunity!",Zoom,Not Available,https://thevantagepoint.ca/events/volunteering-on-non-profit-boards/
Board Fundamentals: Roles & Responsibilities,2025-04-08 13:00:00 - 2025-04-08 16:00:00,"Learning Outcomes: Come away from this workshop with the ability to:  Define the responsibilities of board members. Describe the three modes of governance. Describe practices that build effective boards. Learn new tools that support good governance (e.g. consent agendas, board calendars). Suggested Participants: All non-profit boards and leaders.  Workshop Benefits: Confidence to carry out your role as a board member. Clarity on the roles of board members vs. the roles of staff and operational volunteers. An inclusive space to review and reflect on what it means to be a board member.",In-Person at the Vantage Point Office,129,https://thevantagepoint.ca/events/roles-responsibilities-2/
Raising the Right Revenue: A Fund Development Lab,2025-04-03 09:00:00 - 2025-04-03 12:00:00,"Lab Outcomes  By the end of this lab, you will be able to:  Speak simply and persuasively about your cause.​ Identify realistic strategies to raise and diversify resources.​ Identify key elements of membership development.​ Solicit a major gift or grant with confidence.​ Describe the fundamentals of creating a business plan.​ Describe the characteristics of both contributed and earned revenue streams.​ Use mission-based prospecting to align donors and funders to your own mission and strategic plans.​ Describe restricted and unrestricted funding and the basics of financial management.",Online/Virtual,1999,https://thevantagepoint.ca/training/all-labs/raising-the-right-revenue-a-fund-development-lab/
Heart Pledge Day,2025-02-25 06:00:00- 2025-02-25 18:00:00,"Tune in 6 AM to 6 PM on Tuesday, February 25, 2025 for the University Hospital Foundation’s Heart Pledge Day on up! 99.3.  Heart Pledge Day is the day we fill the radio waves with the true, inspiring and personal stories of physicians, patients, medical researchers and healthcare providers to raise awareness about the life-saving cardiac care at the Mazankowski Alberta Heart Institute (Maz).",Mazankowski Alberta Heart Institute,Not Available,https://heartmonth.ca/heart-pledge-day/
Internation Women's Day Event,2023-03-03 18:00:00-2023-03-03 20:00:00,"elebrate International Women’s Day with United Way Halton & Hamilton’s Women United!   We are thrilled to announce our keynote speaker: Jackie Boyle, RBC Team Canada Olympian, along with other inspiring community leaders! Enjoy an evening of networking with fellow Women United members, hear Jackie’s powerful story of resilience, dedication, and achievement and learn the impact you have made in our community in support of vulnerable women and girls. Mark your calendars and get ready for an unforgettable evening of empowerment, connection, and celebration.","AB Sports Bar 2000 Appleby Line , Burlington",20,https://uwhh.ca/events/international-womens-day-event/
EVENING OF CELEBRATION,2025-04-10 17:00:00-,"We’re rolling out the red carpet to celebrate YOU! Thanks to your unwavering support over the past year, United Way was able to extend a helping hand to our friends and neighbours who need it the most.    At this year’s Evening of Celebration, we’re celebrating the STARS of our community.    Join us for an Oscar-worthy evening to recognize the caring individuals, engaged organizations and committed non-profits who work tirelessly to foster our essential network of local supports.  ",Burlington Convention Centre,145,https://unitedwayhaltonhamilton.akaraisin.com/ui/799B2596E3084130A3332F27389057CE
"City of Richmond Newcomers Bus Tour(English, Arabic)",2025-02-21 09:30:00-2025-02-21 13:00:00,"Language  English  Interpretation  Arabic  Service  Community Engagement, Settlement","S.U.C.C.E.S.S. Richmond Service Centre  #220 - 7000 Minoru Boulevard Richmond, BC V6Y 3Z5Canada",Not Available,https://successbc.ca/event/city-of-richmond-newcomers-bus-tourenglish-arabic/
Navigating Online Job Search Platforms with Confidence 自信导航在线求职平台 (Mandarin),2025-02-21 10:00:00 - 2025-02-21 11:30:00,Language  Mandarin  Eligibility  Permanent Resident  Service  Settlement,"S.U.C.C.E.S.S. Richmond Service Centre  #220 - 7000 Minoru Boulevard Richmond, BC V6Y 3Z5Canada",Not Available,https://successbc.ca/event/navigating-online-job-search-platforms-with-confidence-%e8%87%aa%e4%bf%a1%e5%af%bc%e8%88%aa%e5%9c%a8%e7%ba%bf%e6%b1%82%e8%81%8c%e5%b9%b3%e5%8f%b0-mandarin/
Legal Information and Resources in BC – BC省的法律信息和资源 (Mandarin),2025-02-24 10:00:00 - 2025-02-24 11:30:00,Contents:  Introduction to the Canadian legal system Overview of B.C.’s justice system Legal aid resources and services 内容 :  加拿大法律体系简介 BC省司法系统概览 法律援助资源和服务," Webinar, Online",Not Available,https://successbc.ca/event/legal-information-and-resources-in-bc-bc%e7%9c%81%e7%9a%84%e6%b3%95%e5%be%8b%e4%bf%a1%e6%81%af%e5%92%8c%e8%b5%84%e6%ba%90-mandarin-2/
Ontario Office Information Session – ACCEP-IEHP,2025-02-25 10:00:00 - 2025-02-25 11:00:00,"Are you an Internationally Educated Health Professional looking to advance your career in Ontario?  The Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP) will be hosting an online information session to share how the program supports Internationally Educated Health Professionals (IEHPs) integrate into the Canadian labour market.  Program Highlights:  Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities Eligibility:  To be eligible for this program, you must:  Be a permanent resident, naturalized Canadian citizen, or a person granted refugee status in Canada Be an Internationally Educated Health Professional (IEHP) Have no Canadian work experience or be employed less than 20 hours per week Have a Canadian Language Benchmark (CLB) of 6 or higher Join us to learn how this program can help you take the next step in your career in Canada!  For more information, contact us at accep-toronto@success.bc.ca.",Not Available,Not available,https://successbc.ca/event/ontario-information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-for/2025-02-25/
How to Get a Job in the Child Care Industry 如何进入幼儿教育行业 (Mandarin),2025-02-26 10:00:00 - 2025-02-26 11:30:00,Contents:  Introduction to the Child Care Industry Key Roles and Required Qualifications Finding Relevant Training Programs 内容:  幼儿教育行业总体介绍 不同的职位和相关资格要求 寻找相关的培训项目,Online,Not Available,https://successbc.ca/event/how-to-get-a-job-in-the-child-care-industry-%e5%a6%82%e4%bd%95%e8%bf%9b%e5%85%a5%e5%b9%bc%e5%84%bf%e6%95%99%e8%82%b2%e8%a1%8c%e4%b8%9a-mandarin/
How to Efficiently Prepare a Mortgage 효율적으로 모기지 준비하기 (Korean),2025-03-01 10:00:00 - 2025-03-01 11:30:00,Content  Basic Overview of Mortgages in Canada Preparing for Your Home Mortgage Trends in Real Estate Loans and Interest Rates Mortgage Cases for Immigrants/Newcomers Q&A 내용  캐나다 부동산 및 금융 구조: 모기지의 기본 개념 알기 내 집 마련을 위해 필요한 모기지 준비 사항 최근 부동산 대출/금리 관련 트렌드와 업데이트 이민자/뉴커머들의 모기지 실제 사례 질의응답,Online Webinar,Not Available,https://successbc.ca/event/how-to-efficiently-prepare-a-mortgage-%ed%9a%a8%ec%9c%a8%ec%a0%81%ec%9c%bc%eb%a1%9c-%eb%aa%a8%ea%b8%b0%ec%a7%80-%ec%a4%80%eb%b9%84%ed%95%98%ea%b8%b0-korean/
Information Session – Active Career Connect & Engagement Project for Internationally Educated Health Professionals (ACCEP-IEHP),2025-03-04 10:00:00 - 2025-03-04 11:00:00,"Subsidized Work Experience Individualized Accreditation and Career Planning Career & Employment Readiness Training Canadian Workplace Culture & Equity, Diversity & Inclusion (EDI) Workshops Mental Health and Wellness Sessions One-on-One Support and Guidance Mentorship Opportunities",Online  Webinar,Not Available,https://successbc.ca/event/information-session-active-career-connect-engagement-project-for-internationally-educated-health-professionals-accep-iehp-2025-01-14/2025-03-04/
